"@timestamp",corp,path,query,msec
"May 17, 2022 @ 08:06:55.927","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=77af48ee-7c85-4e4b-a39f-fc62ed8bd313","120,481"
"May 17, 2022 @ 08:04:56.221","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=77af48ee-7c85-4e4b-a39f-fc62ed8bd313","120,773"
"May 17, 2022 @ 08:04:55.995","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=77af48ee-7c85-4e4b-a39f-fc62ed8bd313","120,550"
"May 17, 2022 @ 08:02:55.943","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=77af48ee-7c85-4e4b-a39f-fc62ed8bd313","120,503"
"May 16, 2022 @ 15:22:55.146","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=4525c3b5-2b2c-4404-8570-ae55316b4fe3","120,757"
"May 16, 2022 @ 15:20:55.176","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=4525c3b5-2b2c-4404-8570-ae55316b4fe3","120,796"
"May 16, 2022 @ 15:20:54.807","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=4525c3b5-2b2c-4404-8570-ae55316b4fe3","120,432"
"May 16, 2022 @ 15:18:54.856","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=4525c3b5-2b2c-4404-8570-ae55316b4fe3","120,480"
"May 16, 2022 @ 15:13:37.445","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=774f8540-98d9-4eec-8240-84c0a93e8d32","120,392"
"May 16, 2022 @ 15:11:37.532","13,408","/2z16v4/query/InvoiceStatement","fields=id%2CinvoiceStatementType%2CcreditOfInvoiceStatement%2CinvoiceStatementNumber%2Ctotal%2Cstatus%2CinvoiceStatementDate%2CbillingCorporateUser%2CdeliveryMethodLookup%2CclientCorporation%2CbillingProfile%2CinvoiceTerm%2CbillingPeriodEndDate%2CdateAdded%2CbillingAttention%2CbillingClientContact%2CgeneralLedgerExportStatusLookup%2CdeliveryStatus%2CemailErrorReason%2CinvoiceStatementFinalizedDate%2CdateLastModified%2CisFinalized&orderBy=-dateAdded&start=0&count=500&where=id%3E%3D0%20AND%20billingCorporateUser.name%3E%3D%27e%27%20AND%20billingCorporateUser.name%3C%27f%27%20AND%20deliveryStatus.id%20IN%20(9%2C8)&showTotalMatched=false&uniqueCallId=774f8540-98d9-4eec-8240-84c0a93e8d32","120,465"
